name,tm,bw,adp,val,ps,pos
Keenan Allen (1),SD,11,3.1,4.6,0.51,WR
Mike Evans (1),TB,6,2.10,4.5,0.48,WR
Demaryius Thomas (1),DEN,11,3.9,4.2,0.45,WR
Brandin Cooks (1),NO,5,3.3,4.2,0.42,WR
TY Hilton (1),IND,10,3.9,4.1,0.39,WR
Sammy Watkins (1),BUF,10,4.2,4.1,0.36,WR
Amari Cooper (1),OAK,10,3.5,4.0,0.33,WR
Randall Cobb (2),GB,4,4.8,3.3,0.31,WR
Jarvis Landry (1),MIA,8,5.1,3.3,0.28,WR
Jeremy Maclin (1),KC,5,4.8,3.2,0.26,WR
Golden Tate (1),DET,10,5.2,3.2,0.24,WR
Julian Edelman (1),NE,9,5.2,3.0,0.22,WR
Eric Decker (2),NYJ,11,5.4,2.8,0.20,WR
Larry Fitzgerald (2),ARI,9,6.9,2.8,0.18,WR
Doug Baldwin (1),SEA,5,6.2,2.6,0.16,WR
Kelvin Benjamin (1),CAR,7,6.1,2.4,0.14,WR
Jordan Matthews (1),PHI,4,6.9,2.4,0.13,WR
Michael Floyd (1),ARI,9,6.7,2.2,0.11,WR
Donte Moncrief (2),IND,10,6.2,2.0,0.10,WR
Emmanuel Sanders (2),DEN,11,7.7,2.0,0.08,WR
John Brown (3),ARI,9,7.6,1.6,0.07,WR
DeSean Jackson (2),WAS,9,9.3,1.5,0.06,WR
DeVante Parker (2),MIA,8,8.1,1.5,0.05,WR
Michael Crabtree (2),OAK,10,8.7,1.5,0.04,WR
Allen Hurns (2),JAX,5,8.6,1.3,0.03,WR
Torrey Smith (1),SF,8,11.3,1.0,0.03,WR
Tyler Lockett (2),SEA,5,8.9,1.0,0.02,WR
Marvin Jones (2),DET,10,8.9,0.8,0.01,WR
Willie Snead (2),NO,5,11.1,0.6,0.01,WR
Stefon Diggs (1),MIN,6,11.4,0.5,0.01,WR
Kevin White (2),CHI,9,10.4,0.4,0.00,WR
Sterling Shepard (3),NYG,8,10.8,0.3,0.00,WR
Vincent Jackson (2),TB,6,12.4,-0.1,0.00,WR
Corey Coleman (1),CLE,13,10.8,-0.1,0.00,WR
Tavon Austin (1),LA,8,11.10,-0.3,0.00,WR
Markus Wheaton (2),PIT,8,13.1,-0.4,0.00,WR
Travis Benjamin (2),SD,11,12.5,-0.4,0.00,WR
Josh Gordon (2),CLE,13,10.7,-0.4,0.00,WR
Kamar Aiken (2),BAL,8,12.9,-0.9,0.00,WR
Terrance Williams (2),DAL,7,16.9,-1.0,0.00,WR
Laquon Treadwell (2),MIN,6,12.9,-1.0,0.00,WR
Mohamed Sanu (2),ATL,11,14.8,-1.0,0.00,WR
Steve Smith (1),BAL,8,13.2,-1.1,0.00,WR
Rishard Matthews (1),TEN,13,15.5,-1.3,0.00,WR
Phillip Dorsett (3),IND,10,14.8,-1.4,0.00,WR
Devin Funchess (3),CAR,7,14.3,-1.5,0.00,WR
Pierre Garcon (1),WAS,9,16.1,-1.5,0.00,WR
Sammie Coates (3),PIT,8,14.8,-1.7,0.00,WR
Kenny Britt (2),LA,8,19.8,-1.8,0.00,WR
Michael Thomas (3),NO,5,14.3,-1.9,0.00,WR
Rob Gronkowski (1),NE,9,1.9,5.6,0.78,TE
Jordan Reed (1),WAS,9,4.10,3.7,0.63,TE
Greg Olsen (1),CAR,7,5.6,3.2,0.50,TE
Travis Kelce (1),KC,5,7.1,2.3,0.41,TE
Delanie Walker (1),TEN,13,7.6,2.1,0.32,TE
Coby Fleener (1),NO,5,8.2,2.0,0.24,TE
Gary Barnidge (1),CLE,13,10.2,1.5,0.18,TE
Zach Ertz (1),PHI,4,10.3,1.2,0.14,TE
Antonio Gates (1),SD,11,11.1,1.0,0.09,TE
Tyler Eifert (1),CIN,9,10.2,0.9,0.06,TE
Jason Witten (1),DAL,7,14.1,0.8,0.03,TE
Julius Thomas (1),JAX,5,10.5,0.4,0.01,TE
Dwayne Allen (1),IND,10,12.9,0.3,0.00,TE
Eric Ebron (1),DET,10,13.5,-0.1,0.00,TE
Zach Miller (1),CHI,9,14.6,-0.2,0.00,TE
Martellus Bennett (2),NE,9,13.7,-0.4,0.00,TE
Ladarius Green (1),PIT,8,13.9,-0.7,0.00,TE
Charles Clay (1),BUF,10,16.6,-0.7,0.00,TE
Jimmy Graham (1),SEA,5,14.7,-0.9,0.00,TE
Kyle Rudolph (1),MIN,6,18.4,-1.2,0.00,TE
Jordan Cameron (1),MIA,8,17.3,-1.3,0.00,TE
Clive Walford (2),OAK,10,17.2,-1.5,0.00,TE
Will Tye (2),NYG,8,18.1,-1.5,0.00,TE
Austin Seferian-Jenkins (2),TB,6,17.2,-1.9,0.00,TE
Vance McDonald (1),SF,8,18.5,-1.9,0.00,TE
Stephen Gostkowski,NE,9,,0.4,0.23,K
Steven Hauschka,SEA,5,,0.3,0.20,K
Justin Tucker,BAL,8,,0.2,0.15,K
Mason Crosby,GB,4,,0.0,0.10,K
Dan Bailey,DAL,7,,0.0,0.05,K
Chandler Catanzaro,ARI,9,,0.0,0.00,K
Adam Vinatieri,IND,10,,0.0,0.00,K
Graham Gano,CAR,7,,0.0,0.00,K
Brandon McManus,DEN,11,,0.0,0.00,K
Blair Walsh,MIN,6,,0.0,0.00,K
Cairo Santos,KC,5,,-0.1,0.00,K
Josh Brown,NYG,8,,-0.2,0.00,K
Chris Boswell,PIT,8,,-0.3,0.00,K
Matt Prater,DET,10,,-0.4,0.00,K
Dan Carpenter,BUF,10,,-0.4,0.00,K
Seattle Seahawks,SEA,5,,1.3,0.34,DEF
Denver Broncos,DEN,11,,1.2,0.30,DEF
Arizona Cardinals,ARI,9,,1.1,0.26,DEF
Carolina Panthers,CAR,7,,1.0,0.25,DEF
Houston Texans,HOU,9,,0.9,0.13,DEF
Minnesota Vikings,MIN,6,,0.5,0.11,DEF
Kansas City Chiefs,KC,5,,0.4,0.00,DEF
Los Angeles Rams,LA,8,,0.1,0.00,DEF
New England Patriots,NE,9,,0.1,0.00,DEF
Cincinnati Bengals,CIN,9,,0.0,0.00,DEF
New York Jets,NYJ,11,,0.0,0.00,DEF
Green Bay Packers,GB,4,,0.0,0.00,DEF
Buffalo Bills,BUF,10,,-0.2,0.00,DEF
Pittsburgh Steelers,PIT,8,,-0.2,0.00,DEF
Oakland Raiders,OAK,10,,-0.5,0.00,DEF
